Step #,Validation,Field Label,Notes,Field Name,Source System,Briley Comment
1,Start with the lead + campaign context,[Lead] Email,Used for initial qualification and prioritization Recent campaigns are generally higher priority Campaign source can indicate quality (e.g. content syndication vs trade show),Email,Global SFDC,
,,[Lead] Campaign Name,,"Most Recent  SFDC Campaign Name, Most recent SFDC Campaign ID",,
,,[Lead] Created Date,,Latest  MQL Call required date,,
,,,,,,
2,Search in Intacct Salesforce for Intacct (primary check) ,[Lead/Contact] Email (search),Search by email in Intacct SFDC first,,Intacct SFDC/SAP Fusion,
,"Customer, Fuzzy match on company name, email domain, website to confirm customer ID is empty",[Account] Customer ID / Intacct Customer ID,Customer ID must be blank to work. ,,,
,,[Account] Channel,Channel cannot be VAR If Direct + Customer ? check product before disqualifying,,,
,,,,,,
3,"Check for current customers, open, or disqualied opps",[Account] Customer ID,Do not work if existing Intacct customer,,Intacct SFDC/SAP Fusion,
,Customer / Open Opps / DQ Opps,[Account] Has Open Opportunity,Do not work if open opportunity exists,,,
,,[Opportunity] Reason Disqualified,If disqualified ? review reason: No show / no contact = workable No budget / no timeline = lower priority,,,
,,,,,,
4,Search in Global Salesforce,[Global] Lead/Contact Email (search),Must check Global SFDC even if Intacct is clean,,Global SFDC,For X3/BMS: check Fusion for existing partner relationship.
,ROE,[Global] Last Activity Date,If active ownership or recent activity ? do not work,,,CRE: Blend of Fusion & Intacct
,Partner,[Global] Owner,^,,,
,,,,,,
5,Check for 10-day activity rule,[Lead] Last Activity Date,Must be greater than 10 days since last activity If any activity within 10 days ? do not work Applies across both Lead and Contact,,Global SFDC,
,ROE,[Contact] Last Activity Date,^,,,
,,,,,,
6,Check both Lead and Contact records separately (Exception: archived records),[Lead] Last Activity Date,Must check BOTH Lead and Contact activity independently. If either has recent activity (Last 10 days) ? do not work,,Global SFDC,
,ROE,[Contact] Last Activity Date,^,,,
,,[Lead] Status,EXCEPTION: If Lead is archived ? can be worked regardless of activity timing. BUT refer to next step before doing so.,,,
,,,,,,
7,Verify ownership via Lead History (critical),[Lead] Owner,Ownership may shift due to automation (e.g. Eloqua). Do not rely purely only on current owner field,,Global SFDC,
,ROE,[Lead] Lead History,Review lead history for reassignment and routing changes,,,
,,[Lead] Last Modified By,"Indicates most recent update to the lead. Use it to determine if a human rep recently worked the record vs system automation. If modified by SDR/BDR/AE recently ? treat as being actively worked If modified by system/integration (e.g. Eloqua, routing) ? verify in Lead History before disqualifying",,,
8,DQ,Stage = Disqualifed AND Close Date > 30 days ,,,Intacct SFDC/GMO SFDC,
,,Stage = Disqualified AND Stage History = Discovery or later AND Close Date > 6 Months,,,Intacct SFDC/GMO SFDC,
,,Date of Discovery Stage,,,,
