Step #,Validation,Business Rule,Field Label,Notes,API Name,Source System,Briley Comment
1,Customer Check,Type != Customer OR special handling,[Account] Type),Can be any field Is NOT Customer OR Partner,Type,"Global SFDC, Intacct SFDC, SAP Fusion",For X3/BMS: check Fusion for existing partner relationship | CRE: Blend of Fusion & Intacct
2,TAM Check,TAM not blank,[Account] Total Addressable Market (TAM),,Total_Addressable_Market_TAM__c,Global SFDC,
,,"TAM not contain ""Expired""",[Account] Total Addressable Market (TAM),Does NOT contain Expired (manager call if they can work Expired) - should we have a warning flag?,Total_Addressable_Market_TAM__c,,
,Account Check,"Account Check does it match another ABS owned account in the Intacct TAM.  Fuzzy match to Account via name, email domain and website. Was it assigned in the last 5 days? ",Account name,,,Global SFDC,
,,,email domain Through related contacts,,,Global SFDC,
,,,website,,,Global SFDC,
,,,Account Owner via history,if assigned in last 5 days can not be worked,,Global SFDC,
,,,Account Activity ,"if activity in past 30 days can not be worked, change the nurture status on this account to Duplicate account. If there is no activity in the last 30 days change the nurture status on the other account to Duplicate and proceed to next validation. ",,Global SFDC,
,CRE Check,Does the org fall under CRE ( Account Industry = construction,,if yes update Account nurture status to wrong vertical and note CRE in Account Notes. If no proceed to next validation,,Global SFDC,
,National or Emerging Check,Parent Account  = null,Parent Account,,ParentId,Global SFDC,
,,"Account name contains ymca,y m c a,make-a-wish,planned parenthood,boys and girls,housing authority,boys & girls,habitat for humanity,united way,easterseal,goodwill,ARC,Jewish,JCC,Meals on Wheels,community action,CAP,St. Vincent de Paul,Volunteers of America,VOA",Account Name,,account_name_c,Global SFDC,
,Leads Check,Leads in Working Status with Activity in the last 10 days,,,,Global SFDC,
,,Leads in Working Status with Activity in the next 30 days,,,,Global SFDC,
,,Leads with member status updated in the last 36 business hours,Campaign Member Status Updated,,,Global SFDC,
,,,,,,,
,,,,,,,
3,Contact Activity,Contact Activity > 30 days,[Account] Last Activity is greater than 30 days,Account & Contacts connected together,,Global SFDC,
,,,[Account] Last Booked Call is greater than 90 days,Can be done in Outreach or SFDC,,Global SFDC,
4,Lead Activity,Lead Activity > 30 days,[Lead] Last Activity is greater than 30 days,,,Global SFDC,
5,Open Opp Check,Has Open Opps = 0,[Account] Customer ID / Intacct Customer ID,is blank,,Intacct SFDC,
,,,[Account] Has Open Opp,is 0,,Intacct SFDC,
,,,[Account] Channel,Can be Direct OR VAR but cannot have Customer ID,,Intacct SFDC,
,DQ,Stage = Disqualifed AND Close Date > 30 days ,,,,Intacct SFDC/ GMO Salesforce,
,,Stage = Disqualified AND Stage History = Discovery or later AND Close Date > 6 Months,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,ROE,Campaign Member Status updated in the last 36 hours (business hours) - BDRs checking for SDR ,,,,,
,,,,,,,
,TAM Check,Insight 5 (field?) rolls into 6Sense ... can't work outside their terriotory,GB MM 2 assigned to AE example,,,,
